,X.2,name,Cores,Frequency_GHz,Turbo_1core,L2_MiB,L3_MiB,TDP_W,Launched,Price,GPU_Frequency_MHz,Memory,Mobile,HPC_or_server,Firm,Transistors,Die_size,Desktop.x,Model,Process_nm,Threads,MaxMemoryGiB,Turbo_2core,Turbo_3core,Turbo_4core,Turbo_Max,GPU,GPU_Turbo_MHz,date,price,X,Type,Release.Date,Process.Size..nm.,TDP..W.,Die.Size..mm.2.,Transistors..million.,Freq..MHz.,Foundry,Vendor,FP16.GFLOPS,FP32.GFLOPS,FP64.GFLOPS,Desktop.y,Server,Desktop,Density,Speed,Energy_efficiency,Dennard_l,Dennard_r,real_Price,real_price,log_Density,I(log_Density^2),log_Energy_efficiency,I(log_Energy_efficiency^2),log_Speed,I(log_Speed^2),log_L2_MiB,I(log_L2_MiB^2),log_Cores,I(log_Cores^2),Num_processors,HPC_or_server2
92811,92811,AMD Ryzen Threadripper 1900X,8,3.8,4,4,16,180,9/15/17,NA,NA,,NA,0,AMD,9600,213,1,1900X,14,16,NA,NA,NA,NA,NA,,,9/15/17,549.99,825,CPU,8/31/17,14,125,213,9600,3800,GF,AMD,NA,NA,NA,1,1,1,45.07042,3.8,202.6667,0,0,686.9485,686.9485,3.808226155,14.50258645,5.311562758,28.21269893,1.335001067,1.782227848,1.386294361,1.921812056,2.079441542,4.324077125,,0
93017,93017,AMD Ryzen Threadripper 1920X,12,3.5,4,6,32,180,8/12/17,NA,NA,,NA,0,AMD,9600,213,1,1920X,14,24,NA,NA,NA,NA,NA,,,8/12/17,799.99,827,CPU,8/10/17,14,180,213,9600,3500,GF,AMD,NA,NA,NA,1,1,1,45.07042,3.5,186.6667,0,0,999.2035,999.2035,3.808226155,14.50258645,5.229324674,27.34583654,1.252762968,1.569415055,1.791759469,3.210401996,2.48490665,6.174761058,,0
93213,93213,AMD Ryzen Threadripper 1950X,16,3.4,4,8,32,180,8/9/17,NA,NA,,NA,0,AMD,9600,213,1,1950X,14,32,NA,NA,NA,NA,NA,,,8/9/17,999.99,831,CPU,8/10/17,14,180,213,9600,3400,GF,AMD,NA,NA,NA,1,1,1,45.07042,3.4,181.3333,0,0,1249.008,1249.008,3.808226155,14.50258645,5.200336774,27.04350257,1.223775432,1.497626307,2.079441542,4.324077125,2.772588722,7.687248223,,0
93443,93443,AMD Ryzen Threadripper 2920X,12,3.5,4.3,6,32,180,10/28/18,NA,NA,,NA,0,AMD,19200,213,1,2920X,12,24,NA,NA,NA,NA,NA,,,10/28/18,649,832,CPU,10/3/18,12,180,213,19200,3500,GF,AMD,NA,NA,NA,1,1,1,90.14085,3.5,373.3333,0,0,810.614,810.614,4.501373447,20.26236291,5.922471586,35.07566969,1.252762968,1.569415055,1.791759469,3.210401996,2.48490665,6.174761058,,0
93515,93515,AMD Ryzen Threadripper 2950X,16,3.5,4.4,8,32,180,8/30/18,NA,NA,,NA,0,AMD,19200,213,1,2950X,12,32,NA,NA,NA,NA,NA,,,8/30/18,899,833,CPU,8/13/18,12,180,213,19200,3500,GF,AMD,NA,NA,NA,1,1,1,90.14085,3.5,373.3333,0,0,1122.869,1122.869,4.501373447,20.26236291,5.922471586,35.07566969,1.252762968,1.569415055,2.079441542,4.324077125,2.772588722,7.687248223,,0
93617,93617,AMD Ryzen Threadripper 2970WX,24,3,4.2,12,64,250,10/28/18,NA,NA,,NA,0,AMD,19200,213,1,2970WX,12,48,NA,NA,NA,NA,NA,,,10/28/18,1299,834,CPU,10/2/18,12,250,213,19200,3000,GF,AMD,NA,NA,NA,1,1,1,90.14085,3,230.4,0,0,1622.477,1622.477,4.501373447,20.26236291,5.439816929,29.59160822,1.098612289,1.206948961,2.48490665,6.174761058,3.17805383,10.10002615,,0
93689,93689,AMD Ryzen Threadripper 2990WX,32,3,4.2,16,64,250,8/12/18,NA,NA,,NA,0,AMD,19200,213,1,2990WX,12,64,NA,NA,NA,NA,NA,,,8/12/18,1799,835,CPU,8/13/18,12,250,213,19200,3000,GF,AMD,NA,NA,NA,1,1,1,90.14085,3,230.4,0,0,2246.987,2246.987,4.501373447,20.26236291,5.439816929,29.59160822,1.098612289,1.206948961,2.772588722,7.687248223,3.465735903,12.01132535,,0
93739,93739,AMD EPYC 7351P,16,2.4,2.9,NA,64,155,12/20/17,NA,NA,DDR4-2666,NA,1,AMD,4800,213,0,7351P,14,32,NA,NA,NA,NA,2.9,,,12/20/17,799.99,407,CPU,6/29/17,14,170,213,4800,2400,GF,AMD,NA,NA,NA,0,1,0,22.53521,2.4,74.32258,0,0,999.2035,999.2035,3.115078975,9.70371702,4.308414809,18.56243816,0.875468737,0.76644551,NA,NA,2.772588722,7.687248223,1,1
93851,93851,AMD EPYC 7401P,24,2,2.8,NA,64,155,1/31/18,NA,NA,DDR4-2666,NA,1,AMD,4800,213,0,7401P,14,48,NA,NA,NA,NA,3,,,1/31/18,1149.99,412,CPU,6/29/17,14,170,213,4800,2000,GF,AMD,NA,NA,NA,0,1,0,22.53521,2,61.93548,0,0,1436.361,1436.361,3.115078975,9.70371702,4.126093198,17.02464508,0.693147181,0.480453014,NA,NA,3.17805383,10.10002615,1,1
94089,94089,AMD EPYC 7551P,32,2,2.55,NA,64,180,3/15/18,NA,NA,DDR4-2666,NA,1,AMD,4800,213,0,7551P,14,64,NA,NA,NA,NA,3,,,3/15/18,2299.99,430,CPU,6/29/17,14,180,213,4800,2000,GF,AMD,NA,NA,NA,0,1,0,22.53521,2,53.33333,0,0,2872.734,2872.734,3.115078975,9.70371702,3.976561464,15.81304108,0.693147181,0.480453014,NA,NA,3.465735903,12.01132535,1,1
